playerId,clanId,goldAmount
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,1
17,2,1
18,2,1
19,2,1
20,2,1
21,3,1
22,3,1
23,3,1
24,3,1
25,3,1
26,3,1
27,3,1
28,3,1
29,3,1
30,3,1
31,4,1
32,4,1
33,4,1
34,4,1
35,4,1
36,4,1
37,4,1
38,4,1
39,4,1
40,4,1
41,5,1
42,5,1
43,5,1
44,5,1
45,5,1
46,5,1
47,5,1
48,5,1
49,5,1
50,5,1
51,6,1
52,6,1
53,6,1
54,6,1
55,6,1
56,6,1
57,6,1
58,6,1
59,6,1
60,6,1
61,7,1
62,7,1
63,7,1
64,7,1
65,7,1
66,7,1
67,7,1
68,7,1
69,7,1
70,7,1
71,8,1
72,8,1
73,8,1
74,8,1
75,8,1
76,8,1
77,8,1
78,8,1
79,8,1
80,8,1
81,9,1
82,9,1
83,9,1
84,9,1
85,9,1
86,9,1
87,9,1
88,9,1
89,9,1
90,9,1
91,10,1
92,10,1
93,10,1
94,10,1
95,10,1
96,10,1
97,10,1
98,10,1
99,10,1
100,10,1
